Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-06-21,15.6,16.0356,15.5604,15.5802,16559.112819779
2023-06-22,15.5802,16.0356,15.5802,15.7782,29942.989742263
2023-06-23,15.7782,16.0158,15.6594,15.9366,15706.456409561
2023-06-26,15.8376,16.0158,15.7386,15.8178,7404.1692304412
2023-06-27,15.8178,15.8178,15.6198,15.798,14630.533332685
2023-06-28,15.798,15.8178,15.5802,15.6,14764.897435243
2023-06-29,15.8189,15.8985,15.6398,15.8189,11968.061538126
2023-06-30,15.8786,15.8786,15.0628,15.4209,33174.256409325
2023-07-03,15.4209,15.5801,15.3214,15.5204,7987.7538459297
2023-07-04,15.3413,15.401,15.1224,15.1224,27907.384614601
2023-07-05,15.1224,15.5204,15.1026,15.1622,22778.215383976
2023-07-06,15.1224,15.401,14.9832,15.2219,15114.112820089
2023-07-07,15.3413,15.3413,15.0628,15.1026,14659.794871383
2023-07-10,15.1224,15.401,15.1026,15.1622,14012.492307299
2023-07-11,15.3811,16.2168,15.2418,16.1173,28614.994870992
2023-07-12,16.2168,17.6097,16.1571,17.3311,123615.69230422
2023-07-13,17.5102,17.55,16.7342,17.0526,35813.723075918
2023-07-14,16.9332,17.4107,16.8536,17.1122,33836.635896486
2023-07-17,17.2515,17.8485,17.2515,17.3311,53509.005126704
2023-07-18,17.351,17.3709,17.1122,17.3311,15631.753845715
2023-07-19,17.3112,17.3112,16.4158,16.6347,48607.999998636
2023-07-20,16.8138,16.973,16.3362,16.3362,29409.046153021
2023-07-21,16.3362,16.7143,16.2367,16.4954,8900.4102561605
2023-07-24,16.6944,16.9133,16.5153,16.8337,7401.7641023564
2023-07-25,16.8337,17.1719,16.7143,16.8934,9137.6205125641
2023-07-26,17.0724,17.1122,16.3561,16.8138,17552.553845661
2023-07-27,16.7939,17.0923,16.3561,16.9929,15019.630768809
2023-07-28,16.9133,17.0923,16.8138,16.8138,10964.943589436
2023-07-31,17.0526,17.0526,16.6148,16.6347,11949.969230434
2023-08-01,16.6546,16.8934,16.6347,16.8138,6783.6102562199
2023-08-02,16.7143,16.7939,16.4158,16.7342,13107.876922709
2023-08-03,16.7143,16.7143,16.4556,16.6546,8215.9179484874
2023-08-04,16.6546,16.774,16.4357,16.4357,8713.4564100119
2023-08-07,16.5153,16.6944,15.9383,16.0776,18244.08205077
2023-08-08,16.0179,16.0179,15.5801,15.8786,48173.784614033
2023-08-09,15.7194,16.1173,15.3811,16.1173,30981.066665797
2023-08-10,16.1173,16.1173,15.7194,15.8189,7403.7743587666
2023-08-11,15.8587,16.1173,15.7592,15.9184,5491.0153844613
2023-08-14,16.0577,17.0526,15.9582,16.774,29233.148717128
2023-08-16,16.8138,16.8138,16.2168,16.4158,23081.764101916
2023-08-17,16.4357,16.6745,16.376,16.4158,4918.0923075543
2023-08-18,16.3561,16.3561,15.7592,15.8388,26126.297435164
2023-08-21,15.998,16.2168,15.6995,15.7393,12243.466666323
